dataset	ID	adj.P.Val	logFC	symbol	abs_logFC	direction
GSE62254	210006_at	0.0126	-0.104	ABHD14A///ACY1	0.104	Down
GSE62254	212683_at	0.0126	0.0739	SLC25A44	0.0739	Up
GSE62254	226239_at	0.0119	0.0712	TMEM150A	0.0712	Up
GSE62254	222234_s_at	0.0113	-0.104	DBNDD1	0.104	Down
GSE62254	211804_s_at	0.0119	-0.126	CDK2	0.126	Down
GSE62254	232139_s_at	0.0112	-0.0831	MFSD4B	0.0831	Down
GSE62254	232595_at	0.00742	0.0509		0.0509	Up
GSE62254	242713_at	0.0115	-0.0501		0.0501	Down
GSE62254	202687_s_at	0.012	-0.168	TNFSF10	0.168	Down
GSE62254	210467_x_at	0.0101	0.477	MAGEA12	0.477	Up
GSE62254	1560841_at	0.00873	-0.0412	LOC389247	0.0412	Down
GSE62254	220350_at	0.012	-0.0833	ZNF235	0.0833	Down
GSE62254	212671_s_at	0.0118	-0.263	LOC100509457///HLA-DQA2///HLA-DQA1	0.263	Down
GSE62254	1555982_at	0.012	-0.149	ZFYVE16	0.149	Down
GSE62254	218058_at	0.0127	-0.0897	CXXC1	0.0897	Down
GSE62254	219386_s_at	0.0128	-0.183	SLAMF8	0.183	Down
GSE62254	218513_at	0.0124	-0.131	TMA16	0.131	Down
GSE62254	224455_s_at	0.0126	-0.0835	ADPGK	0.0835	Down
GSE62254	1553967_at	0.00963	-0.0389	ADAT3	0.0389	Down
GSE62254	235610_at	0.0118	-0.0999	ALKBH8	0.0999	Down
GSE62254	209696_at	0.0127	0.164	FBP1	0.164	Up
GSE62254	215044_s_at	0.0128	-0.101	STAM2	0.101	Down
GSE62254	229863_s_at	0.0127	-0.0694	ELP6	0.0694	Down
GSE62254	219784_at	0.0118	-0.0517	C16orf95	0.0517	Down
GSE62254	223123_s_at	0.00853	-0.0798	PITHD1	0.0798	Down
GSE62254	212672_at	0.0129	0.0812	ATM	0.0812	Up
GSE62254	209012_at	0.0127	0.106	TRIO	0.106	Up
GSE62254	215517_at	0.00842	0.0899	PYGO1	0.0899	Up
GSE62254	235360_at	0.0118	0.0828	PLEKHM3	0.0828	Up
GSE62254	211887_x_at	0.00999	-0.137	MSR1	0.137	Down
GSE62254	230376_at	0.0111	-0.134	GTF2A2	0.134	Down
GSE62254	224316_at	0.0122	-0.083		0.083	Down
GSE62254	219418_at	0.0127	-0.0914	SLC23A3///NHEJ1	0.0914	Down
GSE62254	240770_at	0.0128	-0.18	TMEM171	0.18	Down
GSE62254	1553329_at	0.00645	0.029	SSMEM1	0.029	Up
GSE62254	240529_at	0.00873	0.073		0.073	Up
GSE62254	223289_s_at	0.0129	-0.113	USP38	0.113	Down
GSE62254	202760_s_at	0.0129	0.128	PALM2-AKAP2///AKAP2	0.128	Up
GSE62254	219733_s_at	0.0128	-0.137	SLC27A5	0.137	Down
GSE62254	209640_at	0.0107	-0.0827	PML	0.0827	Down
GSE62254	225796_at	0.0127	-0.096	PXK	0.096	Down
GSE62254	227897_at	0.0129	0.124	RAP2B	0.124	Up
GSE62254	220832_at	0.00974	-0.119	TLR8	0.119	Down
GSE62254	232234_at	0.0121	-0.0966	SLA2	0.0966	Down
GSE62254	1553688_at	0.0104	-0.0425	METTL6	0.0425	Down
GSE62254	226952_at	0.0128	-0.0729	EAF1	0.0729	Down
GSE62254	224639_at	0.0127	0.0705	SPPL3	0.0705	Up
GSE62254	211021_s_at	0.00922	-0.0486	RGS14	0.0486	Down
GSE62254	232596_at	0.0125	-0.154	DIAPH3	0.154	Down
GSE62254	228303_at	0.013	0.188	GALNT6	0.188	Up
GSE62254	1554346_at	0.0107	-0.0431	GNB5	0.0431	Down
GSE62254	228563_at	0.0101	0.107	GJC1	0.107	Up
GSE62254	210530_s_at	0.0125	-0.127	NR2C1	0.127	Down
GSE62254	214658_at	0.0125	-0.0924	TMED7-TICAM2///TMED7	0.0924	Down
GSE62254	240318_at	0.011	-0.072	AFMID	0.072	Down
GSE62254	236966_at	0.01	0.12	ARMC8	0.12	Up
GSE62254	205269_at	0.0129	-0.214	LCP2	0.214	Down
GSE62254	221784_at	0.012	-0.0494	WIZ	0.0494	Down
GSE62254	226124_at	0.0131	-0.0854	ZFP90	0.0854	Down
GSE62254	202159_at	0.0131	-0.0695	FARSA	0.0695	Down
GSE62254	213891_s_at	0.0128	0.158	TCF4	0.158	Up
GSE62254	225313_at	0.0132	0.114	FAM217B	0.114	Up
GSE62254	57539_at	0.0131	0.096	ZGPAT///LIME1	0.096	Up
GSE62254	205926_at	0.0122	-0.101	IL27RA	0.101	Down
GSE62254	207223_s_at	0.0115	-0.122	PTBP3	0.122	Down
GSE62254	238295_at	0.0118	0.122	TEFM	0.122	Up
GSE62254	218294_s_at	0.0128	-0.067	NUP50	0.067	Down
GSE62254	236262_at	0.0115	0.138	MMRN2	0.138	Up
GSE62254	240242_at	0.0105	0.185		0.185	Up
GSE62254	240467_at	0.0087	0.111		0.111	Up
GSE62254	209800_at	0.0114	-0.135	KRT16	0.135	Down
GSE62254	235235_s_at	0.011	-0.0902	PATL1	0.0902	Down
GSE62254	243210_at	0.00962	0.0786		0.0786	Up
GSE62254	221823_at	0.0132	-0.133	C5orf30	0.133	Down
GSE62254	224302_s_at	0.0126	-0.0788	MRPS36	0.0788	Down
GSE62254	210116_at	0.012	-0.167	SH2D1A	0.167	Down
GSE62254	1553313_s_at	0.00945	-0.0806	SLC5A3	0.0806	Down
GSE62254	239891_x_at	0.0133	-0.122	RAB12	0.122	Down
GSE62254	204041_at	0.0132	0.258	MAOB	0.258	Up
GSE62254	223732_at	0.00853	0.143	SLC23A1	0.143	Up
GSE62254	208103_s_at	0.0131	-0.123	ANP32E	0.123	Down
GSE62254	229135_at	0.0119	-0.107	FASTKD2	0.107	Down
GSE62254	220688_s_at	0.0132	-0.0889	MRTO4	0.0889	Down
GSE62254	228536_at	0.0133	-0.106	PRMT9	0.106	Down
GSE62254	228742_at	0.012	-0.143		0.143	Down
GSE62254	242182_x_at	0.00689	0.037		0.037	Up
GSE62254	1552320_a_at	0.00623	0.0318	CCDC65	0.0318	Up
GSE62254	201590_x_at	0.00968	-0.0625	ANXA2	0.0625	Down
GSE62254	232897_at	0.011	-0.0999	LOC403323	0.0999	Down
GSE62254	219315_s_at	0.0131	0.109	TMEM204	0.109	Up
GSE62254	218493_at	0.013	-0.0967	SNRNP25	0.0967	Down
GSE62254	236273_at	0.0127	-0.121	NBPF1	0.121	Down
GSE62254	213816_s_at	0.00921	-0.125	MET	0.125	Down
GSE62254	204245_s_at	0.0134	-0.0747	RPP14	0.0747	Down
GSE62254	227870_at	0.0121	0.164	IGDCC4	0.164	Up
GSE62254	229339_at	0.0118	0.145	MYOCD	0.145	Up
GSE62254	201520_s_at	0.0125	-0.0813	GRSF1	0.0813	Down
GSE62254	1564590_a_at	0.00791	0.0296	OFCC1	0.0296	Up
GSE62254	244406_at	0.0118	0.131	ZNF625-ZNF20///ZNF625	0.131	Up
GSE62254	209832_s_at	0.0119	-0.118	CDT1	0.118	Down
GSE62254	235791_x_at	0.0133	-0.074	CHD1	0.074	Down
GSE62254	232243_at	0.0105	-0.0665	MCPH1	0.0665	Down
GSE62254	209980_s_at	0.0132	-0.103	MIR6778///SHMT1	0.103	Down
GSE62254	233924_s_at	0.0132	-0.147	EXOC6	0.147	Down
GSE62254	236487_at	0.0133	-0.105	LOC101927137///SCLT1	0.105	Down
GSE62254	202706_s_at	0.0133	-0.0788	UMPS	0.0788	Down
GSE62254	220400_at	0.00844	-0.0455	VPS13B	0.0455	Down
GSE62254	203542_s_at	0.0134	0.133	KLF9	0.133	Up
GSE62254	217970_s_at	0.0133	-0.0693	CNOT6	0.0693	Down
GSE62254	224818_at	0.0134	0.101	SORT1	0.101	Up
GSE62254	243196_s_at	0.0133	-0.063	TRAFD1	0.063	Down
GSE62254	219271_at	0.00991	0.173	GALNT14	0.173	Up
GSE62254	201539_s_at	0.0116	0.149	FHL1	0.149	Up
GSE62254	214094_at	0.00948	-0.048	FUBP1	0.048	Down
GSE62254	209714_s_at	0.0132	-0.132	CDKN3	0.132	Down
GSE62254	220038_at	0.0134	-0.154	C8orf44-SGK3///SGK3	0.154	Down
GSE62254	204871_at	0.012	0.162	MTERF1	0.162	Up
GSE62254	227692_at	0.0134	0.196	GNAI1	0.196	Up
GSE62254	204182_s_at	0.0127	0.0875	ZBTB43	0.0875	Up
GSE62254	1554178_a_at	0.0136	-0.0943	FAM126B	0.0943	Down
GSE62254	205395_s_at	0.0136	0.107	MRE11A	0.107	Up
GSE62254	216411_s_at	0.0127	0.0671	GALK2	0.0671	Up
GSE62254	229358_at	0.0124	0.158	IHH	0.158	Up
GSE62254	207842_s_at	0.0134	0.124	MIR6866///CASC3	0.124	Up
GSE62254	223964_x_at	0.0136	-0.0505		0.0505	Down
GSE62254	214818_at	0.0113	-0.0405	CCDC57	0.0405	Down
GSE62254	202446_s_at	0.012	-0.101	PLSCR1	0.101	Down
GSE62254	1560339_s_at	0.0135	-0.0632	NAP1L4	0.0632	Down
GSE62254	1552390_a_at	0.0118	0.248	ERICH5	0.248	Up
GSE62254	202000_at	0.0135	-0.0788	NDUFA6	0.0788	Down
GSE62254	217326_x_at	0.0123	-0.0493	IL23A///TRBV19	0.0493	Down
GSE62254	226071_at	0.00912	-0.0463	ADAMTSL4	0.0463	Down
GSE62254	221709_s_at	0.0128	-0.0674	ZNF839	0.0674	Down
GSE62254	233350_s_at	0.0137	-0.0835	TEX264	0.0835	Down
GSE62254	1555758_a_at	0.0134	-0.146	CDKN3	0.146	Down
GSE62254	218308_at	0.0137	-0.106	TACC3	0.106	Down
GSE62254	210076_x_at	0.0134	-0.0494	SERBP1	0.0494	Down
GSE62254	234461_at	0.0102	-0.0395	RNF215	0.0395	Down
GSE62254	210611_s_at	0.00668	0.0391	DTNA	0.0391	Up
GSE62254	217944_at	0.0138	-0.0888	POMGNT1	0.0888	Down
GSE62254	203934_at	0.0137	0.109	KDR	0.109	Up
GSE62254	243156_at	0.0096	-0.0575		0.0575	Down
GSE62254	230421_at	0.0114	0.146	ZNF879	0.146	Up
GSE62254	222152_at	0.0119	0.0706	PDCD6	0.0706	Up
GSE62254	239991_at	0.0117	0.0741		0.0741	Up
GSE62254	210790_s_at	0.0137	-0.0939	SAR1A	0.0939	Down
GSE62254	211488_s_at	0.00979	-0.114	ITGB8	0.114	Down
GSE62254	219691_at	0.0139	-0.228	SAMD9	0.228	Down
GSE62254	204045_at	0.0139	0.118	TCEAL1	0.118	Up
GSE62254	1569349_at	0.0105	-0.131	EMSY	0.131	Down
GSE62254	216086_at	0.00832	0.0477	SV2C	0.0477	Up
GSE62254	221971_x_at	0.0139	0.0751	LOC101060581///AGAP5///AGAP9///AGAP12P///BMS1P5///AGAP11///AGAP4	0.0751	Up
GSE62254	209331_s_at	0.0139	-0.0576	MAX	0.0576	Down
GSE62254	226890_at	0.0108	0.11	WDR35	0.11	Up
GSE62254	1558556_at	0.00934	0.0403	CAMK1	0.0403	Up
GSE62254	212613_at	0.0139	-0.119	BTN3A2	0.119	Down
GSE62254	214467_at	0.0139	-0.187	GPR65	0.187	Down
GSE62254	206741_at	0.0106	0.106	SSUH2	0.106	Up
GSE62254	1554190_s_at	0.0134	-0.291	PLEKHS1	0.291	Down
GSE62254	212003_at	0.0139	-0.0545	SZRD1	0.0545	Down
GSE62254	234405_s_at	0.014	-0.0764	PHAX	0.0764	Down
GSE62254	243882_at	0.0104	-0.17		0.17	Down
GSE62254	217617_at	0.00927	0.105		0.105	Up
GSE62254	219227_at	0.0114	0.0618	CCNJL	0.0618	Up
GSE62254	202153_s_at	0.0137	-0.0699	NUP62	0.0699	Down
GSE62254	206519_x_at	0.00717	0.0535	SIGLEC6	0.0535	Up
GSE62254	232362_at	0.0102	-0.0972	CCDC18	0.0972	Down
GSE62254	207087_x_at	0.0118	-0.0958	ANK1	0.0958	Down
GSE62254	213253_at	0.014	-0.108	SMC2	0.108	Down
GSE62254	220606_s_at	0.0137	-0.102	ADPRM	0.102	Down
GSE62254	227654_at	0.0124	0.145	FAM65C	0.145	Up
GSE62254	239196_at	0.0138	-0.17	ANKRD22	0.17	Down
GSE62254	237333_at	0.0139	-0.119	RBBP4	0.119	Down
GSE62254	219601_s_at	0.00884	-0.0534	C10orf12	0.0534	Down
GSE62254	210569_s_at	0.0109	-0.0622	SIGLEC9	0.0622	Down
GSE62254	227976_at	0.00911	0.104	SMIM10	0.104	Up
GSE62254	231580_at	0.0107	0.104	LINC01082	0.104	Up
GSE62254	1556306_at	0.00866	0.112		0.112	Up
GSE62254	203058_s_at	0.0141	0.182	PAPSS2	0.182	Up
GSE62254	227255_at	0.014	-0.0968	PDIK1L	0.0968	Down
GSE62254	223348_x_at	0.014	-0.063	MUM1	0.063	Down
GSE62254	203337_x_at	0.0141	-0.139	ITGB1BP1	0.139	Down
GSE62254	231730_at	0.0129	-0.155	SEPSECS	0.155	Down
GSE62254	222365_at	0.0118	0.0506	TBCEL	0.0506	Up
GSE62254	220911_s_at	0.0117	0.1	NYNRIN	0.1	Up
GSE62254	221724_s_at	0.0139	-0.218	CLEC4A	0.218	Down
GSE62254	229797_at	0.0118	0.224	MCOLN3	0.224	Up
GSE62254	209087_x_at	0.0141	0.148	MCAM	0.148	Up
GSE62254	200630_x_at	0.0111	-0.0553	SETSIP///SET	0.0553	Down
GSE62254	223767_at	0.0121	-0.249	GPR84	0.249	Down
GSE62254	216581_at	0.0113	-0.0586		0.0586	Down
GSE62254	201224_s_at	0.0142	-0.0674	SRRM1	0.0674	Down
GSE62254	202095_s_at	0.0138	-0.119	BIRC5	0.119	Down
GSE62254	222286_at	0.0104	-0.0935	SNAPC3	0.0935	Down
GSE62254	230405_at	0.0142	-0.12	C5orf56	0.12	Down
GSE62254	1554538_at	0.0116	-0.0624	RHOF	0.0624	Down
GSE62254	204343_at	0.0135	-0.0724	ABCA3	0.0724	Down
GSE62254	235678_at	0.0135	-0.125	GM2A	0.125	Down
GSE62254	229610_at	0.0142	-0.126	CKAP2L	0.126	Down
GSE62254	1565829_at	0.0114	-0.0523	CEP295	0.0523	Down
GSE62254	226560_at	0.0138	-0.148	SGPP2	0.148	Down
GSE62254	201228_s_at	0.0125	-0.0768	ARIH2	0.0768	Down
GSE62254	213817_at	0.0121	0.249	IRAK3	0.249	Up
GSE62254	240044_x_at	0.00979	0.078	TNRC6B	0.078	Up
GSE62254	204147_s_at	0.0143	-0.106	TFDP1	0.106	Down
GSE62254	227545_at	0.0142	-0.105	BARD1	0.105	Down
GSE62254	244110_at	0.0128	-0.131	KMT2A	0.131	Down
GSE62254	238174_at	0.0118	-0.125	FBXL17	0.125	Down
GSE62254	219436_s_at	0.0127	0.149	EMCN	0.149	Up
GSE62254	233053_at	0.00735	0.0408		0.0408	Up
GSE62254	1555419_a_at	0.0135	-0.132	ASAH1	0.132	Down
GSE62254	219948_x_at	0.0111	0.375	UGT2A3	0.375	Up
GSE62254	222730_s_at	0.0139	0.219	ZDHHC2	0.219	Up
GSE62254	243774_at	0.0114	0.0869	MUC20	0.0869	Up
GSE62254	207535_s_at	0.0123	-0.0568	NFKB2	0.0568	Down
GSE62254	218383_at	0.0142	-0.0807	MIR4707///HAUS4	0.0807	Down
GSE62254	217352_at	0.0137	-0.0638		0.0638	Down
GSE62254	213472_at	0.00824	-0.0615	HNRNPH1	0.0615	Down
GSE62254	228451_at	0.011	-0.0485	FAM229A	0.0485	Down
GSE62254	228548_at	0.0137	0.0998	RAP1A	0.0998	Up
GSE62254	1554523_a_at	0.0118	-0.0532	CNNM2	0.0532	Down
GSE62254	226089_at	0.0144	-0.0986	RABL3	0.0986	Down
GSE62254	208826_x_at	0.0119	-0.0674	HINT1	0.0674	Down
GSE62254	238711_s_at	0.0144	-0.0621	ZNF148	0.0621	Down
GSE62254	212656_at	0.0142	-0.0813	TSFM	0.0813	Down
GSE62254	243111_at	0.0125	-0.0496		0.0496	Down
GSE62254	205369_x_at	0.0139	-0.11	DBT	0.11	Down
GSE62254	1557609_s_at	0.00977	-0.081	TBC1D12	0.081	Down
GSE62254	210885_s_at	0.0137	-0.0861	TRIM15	0.0861	Down
GSE62254	226495_at	0.0145	0.0889	MAVS	0.0889	Up
GSE62254	203782_s_at	0.0145	-0.107	POLRMT	0.107	Down
GSE62254	1556352_at	0.0109	0.105		0.105	Up
GSE62254	203333_at	0.0145	0.137	KIFAP3	0.137	Up
GSE62254	235246_at	0.0105	-0.0409	WDR86	0.0409	Down
GSE62254	233099_at	0.00835	0.0463		0.0463	Up
GSE62254	205086_s_at	0.0142	-0.0766	NCAPH2	0.0766	Down
GSE62254	224037_at	0.0118	-0.0867	SDAD1	0.0867	Down
GSE62254	1555963_x_at	0.0144	0.232	B3GNT7	0.232	Up
GSE62254	228504_at	0.00761	0.172	SCN7A	0.172	Up
GSE62254	209913_x_at	0.0133	0.0821	MIR4656///AP5Z1	0.0821	Up
GSE62254	1554999_at	0.00937	-0.0857	RASGEF1B	0.0857	Down
GSE62254	213503_x_at	0.0106	-0.0618	ANXA2	0.0618	Down
GSE62254	224204_x_at	0.0146	-0.155	ARNTL2	0.155	Down
GSE62254	232665_x_at	0.00942	0.0642	SMURF1	0.0642	Up
GSE62254	200696_s_at	0.0137	0.144	GSN	0.144	Up
GSE62254	203749_s_at	0.0134	0.11	RARA	0.11	Up
GSE62254	218525_s_at	0.0145	-0.0558	HIF1AN	0.0558	Down
GSE62254	211916_s_at	0.0144	0.222	MYO1A	0.222	Up
GSE62254	241689_at	0.0137	-0.0909	METTL14	0.0909	Down
GSE62254	200668_s_at	0.0123	-0.0547	UBE2D3	0.0547	Down
GSE62254	214603_at	0.0106	0.43	MAGEA2B///MAGEA2	0.43	Up
GSE62254	236368_at	0.0117	0.0904	KIAA0368	0.0904	Up
GSE62254	213930_at	0.0141	-0.1	ATG12	0.1	Down
GSE62254	210665_at	0.0128	0.226	TFPI	0.226	Up
GSE62254	211603_s_at	0.0139	0.111	ETV4	0.111	Up
GSE62254	226585_at	0.0146	-0.166	NEIL2	0.166	Down
GSE62254	218243_at	0.0146	-0.0606	RUFY1	0.0606	Down
GSE62254	210719_s_at	0.0148	-0.101	HMG20B	0.101	Down
GSE62254	200987_x_at	0.0147	-0.0902	PSME3	0.0902	Down
GSE62254	203139_at	0.0145	0.144	DAPK1	0.144	Up
GSE62254	1558076_at	0.00921	-0.0683	SLF1	0.0683	Down
GSE62254	231623_at	0.0096	-0.036	TMEM174	0.036	Down
GSE62254	222777_s_at	0.0136	-0.129	WHSC1	0.129	Down
GSE62254	210182_at	0.0108	-0.0525	CORT	0.0525	Down
GSE62254	215247_at	0.0112	0.0895	LOC100288570	0.0895	Up
GSE62254	210213_s_at	0.0139	0.0998	EIF6	0.0998	Up
GSE62254	212677_s_at	0.0142	0.15	CEP68	0.15	Up
GSE62254	229543_at	0.0141	-0.226	FAM26F	0.226	Down
GSE62254	208549_x_at	0.013	-0.0567	PTMA	0.0567	Down
GSE62254	233775_x_at	0.0137	0.0763	LOC100289333	0.0763	Up
GSE62254	228353_x_at	0.00994	-0.0918	UBASH3B	0.0918	Down
GSE62254	219840_s_at	0.00781	0.0414	TCL6	0.0414	Up
GSE62254	231903_x_at	0.0115	-0.044	ARHGAP23	0.044	Down
GSE62254	235260_s_at	0.0149	-0.105	PACRGL	0.105	Down
GSE62254	205382_s_at	0.0149	-0.19	CFD	0.19	Down
GSE62254	228232_s_at	0.0146	0.34	VSIG2	0.34	Up
GSE62254	232525_at	0.0109	0.0807		0.0807	Up
GSE62254	235898_at	0.0111	0.176	LOC102723845	0.176	Up
GSE62254	49878_at	0.0148	0.0635	PEX16	0.0635	Up
GSE62254	202019_s_at	0.0143	-0.108	LANCL1	0.108	Down
GSE62254	216951_at	0.00857	-0.0413	FCGR1A	0.0413	Down
GSE62254	202921_s_at	0.00953	0.047	ANK2	0.047	Up
GSE62254	212782_x_at	0.0143	0.0767	POLR2J	0.0767	Up
GSE62254	243910_x_at	0.0151	0.0896	CAND1	0.0896	Up
GSE62254	203913_s_at	0.015	0.39	HPGD	0.39	Up
GSE62254	209472_at	0.0145	-0.0877	KYAT3	0.0877	Down
GSE62254	239594_at	0.0089	0.167	DRAIC	0.167	Up
GSE62254	1554485_s_at	0.0146	0.21	TMEM37	0.21	Up
GSE62254	238513_at	0.0148	-0.125	PRRG4	0.125	Down
GSE62254	209414_at	0.0128	-0.0523	FZR1	0.0523	Down
GSE62254	242851_at	0.0128	0.0935	MFSD4B	0.0935	Up
GSE62254	203914_x_at	0.0149	0.387	HPGD	0.387	Up
GSE62254	209109_s_at	0.0147	0.18	TSPAN6	0.18	Up
GSE62254	1552625_a_at	0.0152	-0.124	TRNT1	0.124	Down
GSE62254	217805_at	0.0151	-0.0834	ILF3	0.0834	Down
GSE62254	1562745_at	0.0108	-0.0528		0.0528	Down
GSE62254	202585_s_at	0.0131	-0.0919	NFX1	0.0919	Down
GSE62254	1552678_a_at	0.0128	-0.0969	USP28	0.0969	Down
GSE62254	241018_at	0.00805	0.0491	TMEM59	0.0491	Up
GSE62254	1570588_at	0.011	0.0829		0.0829	Up
GSE62254	200612_s_at	0.0148	-0.087	AP2B1	0.087	Down
GSE62254	214247_s_at	0.0146	0.151	DKK3	0.151	Up
GSE62254	203699_s_at	0.0142	0.156	DIO2	0.156	Up
GSE62254	1558501_at	0.0102	0.209	DNM3	0.209	Up
GSE62254	241472_at	0.012	0.147	DMXL1	0.147	Up
GSE62254	224686_x_at	0.0152	0.0937	LRRC37A2	0.0937	Up
GSE62254	222602_at	0.0148	-0.0728	UBA6	0.0728	Down
GSE62254	211302_s_at	0.0146	-0.228	PDE4B	0.228	Down
GSE62254	227794_at	0.00854	0.124	LOC100287413///GLYATL1	0.124	Up
GSE62254	212741_at	0.0152	0.252	MAOA	0.252	Up
GSE62254	219814_at	0.0116	-0.108	MBNL3	0.108	Down
GSE62254	203235_at	0.0152	-0.141	THOP1	0.141	Down
GSE62254	214007_s_at	0.0153	-0.181	TWF1	0.181	Down
GSE62254	224715_at	0.0152	-0.103	WDR34	0.103	Down
GSE62254	211578_s_at	0.0152	-0.0898	RPS6KB1	0.0898	Down
GSE62254	222045_s_at	0.0137	-0.1	PCIF1	0.1	Down
GSE62254	1559313_at	0.00963	-0.0405	ANKRD18A	0.0405	Down
GSE62254	203798_s_at	0.0145	-0.422	VSNL1	0.422	Down
GSE62254	201834_at	0.0154	0.0866	PRKAB1	0.0866	Up
GSE62254	1552367_a_at	0.0129	0.245	SCIN	0.245	Up
GSE62254	235501_at	0.0141	0.178		0.178	Up
GSE62254	210132_at	0.0148	-0.0785	EFNA3	0.0785	Down
GSE62254	39966_at	0.0107	-0.11	CSPG5	0.11	Down
GSE62254	228665_at	0.015	0.128	CYYR1	0.128	Up
GSE62254	225408_at	0.0121	-0.0561	MBP	0.0561	Down
GSE62254	235325_at	0.0133	-0.0629	LOC101930112///SPG7	0.0629	Down
GSE62254	217276_x_at	0.0126	-0.0601	SERHL2	0.0601	Down
GSE62254	223182_s_at	0.0153	0.125	AGPAT3	0.125	Up
GSE62254	1555756_a_at	0.0142	-0.314	CLEC7A	0.314	Down
GSE62254	202578_s_at	0.0152	-0.073	DDX19A	0.073	Down
GSE62254	209576_at	0.0152	0.184	GNAI1	0.184	Up
GSE62254	223435_s_at	0.0122	0.285	PCDHA1///PCDHA2///PCDHA3///PCDHA4///PCDHA5///PCDHA6///PCDHA7///PCDHA8///PCDHA10///PCDHA11///PCDHA12///PCDHA13///PCDHAC1///PCDHAC2///PCDHA9	0.285	Up
GSE62254	202937_x_at	0.0155	-0.105	RRP7A	0.105	Down
GSE62254	239061_at	0.0136	-0.0984	TPRXL	0.0984	Down
GSE62254	239372_at	0.0106	-0.0594		0.0594	Down
GSE62254	208180_s_at	0.0115	0.159	HIST1H4H	0.159	Up
GSE62254	222661_at	0.0154	-0.0701	AGGF1	0.0701	Down
GSE62254	1559322_at	0.011	0.152	LOC727916	0.152	Up
GSE62254	201348_at	0.0144	0.174	GPX3	0.174	Up
GSE62254	228647_at	0.0148	0.137	LOC100049716	0.137	Up
GSE62254	201019_s_at	0.0139	0.0807	EIF1AX	0.0807	Up
GSE62254	212690_at	0.0156	-0.0978	DDHD2	0.0978	Down
GSE62254	235563_at	0.0132	-0.103	GPRC5A	0.103	Down
GSE62254	226338_at	0.0146	0.138	TMEM55A	0.138	Up
GSE62254	204578_at	0.0155	-0.0734	PPIP5K1	0.0734	Down
GSE62254	229796_at	0.0149	-0.206	SIX4	0.206	Down
GSE62254	211505_s_at	0.0153	0.0768	STAU1	0.0768	Up
GSE62254	217879_at	0.0156	-0.0677	CDC27	0.0677	Down
GSE62254	1554449_at	0.0103	-0.108	MIER3	0.108	Down
GSE62254	227758_at	0.0143	0.201	RERG	0.201	Up
GSE62254	235494_at	0.0108	0.12	LSAMP	0.12	Up
GSE62254	206132_at	0.0132	0.0502	MCC	0.0502	Up
GSE62254	225825_at	0.0138	0.101	C20orf194	0.101	Up
GSE62254	1557136_at	0.0118	0.158	ATP13A4	0.158	Up
GSE62254	226876_at	0.0158	0.118	FAM101B	0.118	Up
GSE62254	238586_at	0.00974	-0.0384		0.0384	Down
GSE62254	238396_at	0.0117	-0.0412		0.0412	Down
GSE62254	226067_at	0.0157	0.496	BPIFB1	0.496	Up
GSE62254	225327_at	0.0157	0.0945	FAM214A	0.0945	Up
GSE62254	213141_at	0.0155	0.0475	PSKH1	0.0475	Up
GSE62254	215310_at	0.0106	-0.0538	APC	0.0538	Down
GSE62254	202817_s_at	0.0158	-0.0991	SS18	0.0991	Down
GSE62254	212825_at	0.0157	-0.0829	PAXIP1	0.0829	Down
GSE62254	213634_s_at	0.0156	-0.0631	TRMU	0.0631	Down
GSE62254	219520_s_at	0.0159	0.144	WWC3	0.144	Up
GSE62254	243064_at	0.0111	0.0497		0.0497	Up
GSE62254	205799_s_at	0.0156	0.36	SLC3A1	0.36	Up
GSE62254	215125_s_at	0.0159	0.329	UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10	0.329	Up
GSE62254	225871_at	0.0157	-0.172	STEAP2	0.172	Down
GSE62254	220145_at	0.0128	0.228	MAP9	0.228	Up
GSE62254	222511_x_at	0.00993	-0.0879	FAF1	0.0879	Down
GSE62254	225401_at	0.0159	0.102	GLMP	0.102	Up
GSE62254	1556834_at	0.0103	-0.122	DSG2-AS1	0.122	Down
GSE62254	219592_at	0.0122	-0.0958	MCPH1	0.0958	Down
GSE62254	219947_at	0.0159	-0.211	CLEC4A	0.211	Down
GSE62254	233027_at	0.0102	0.0893		0.0893	Up
GSE62254	231015_at	0.0144	0.117	KLF15	0.117	Up
GSE62254	210241_s_at	0.0156	0.118	TP53TG1	0.118	Up
GSE62254	239987_at	0.00989	0.087		0.087	Up
GSE62254	220432_s_at	0.0114	0.224	CYP39A1	0.224	Up
GSE62254	238630_at	0.0117	-0.0682	OPA3	0.0682	Down
GSE62254	204470_at	0.0142	-0.232	CXCL1	0.232	Down
GSE62254	200646_s_at	0.0135	-0.0847	NUCB1	0.0847	Down
GSE62254	239259_at	0.0104	-0.0463	ZNF557	0.0463	Down
GSE62254	243615_at	0.012	-0.0396		0.0396	Down
GSE62254	235768_at	0.0107	-0.0447	SH3RF2	0.0447	Down
GSE62254	214737_x_at	0.0137	-0.0441	HNRNPC	0.0441	Down
GSE62254	240237_at	0.0145	-0.118		0.118	Down
GSE62254	235390_at	0.0159	-0.1	SREK1IP1	0.1	Down
GSE62254	208322_s_at	0.0158	0.148	ST3GAL1	0.148	Up
GSE62254	1560017_at	0.0151	-0.15	TMTC3	0.15	Down
